date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:42:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Feb%202018%2010:42:29%20GMT	https://app2.simpliroute.com/robots.txt		(from )
08:42:33	3165/3165	---M--	200	added ('OK')	text/html	etag:%2264ed00538fae321471e2c15c7e4ee535%22	https://app2.simpliroute.com/	C:/Nova%20pasta/simpli%20api/APP2_SIM/INDEX.HTM	(from )
08:42:58	114498/114498	---M--	200	added ('OK')	text/css	etag:%22af12bac8c4616c1df92c33c3003f9e67%22	https://app2.simpliroute.com/styles/vendor-af12bac8c4.css	C:/Nova%20pasta/simpli%20api/APP2_SIM/STYLES/VENDOR_A.CSS	(from https://app2.simpliroute.com/)
08:42:58	38631/38631	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2005%20Feb%202018%2010:42:47%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Nova%20pasta/simpli%20api/CONNECT/EN_US/FBEVENTS.JS	(from https://app2.simpliroute.com/)
08:42:58	44/44	---M--	200	added ('OK')	image/gif	date:Fri,%2021%20Dec%202012%2000:00:01%20GMT	https://www.facebook.com/tr?id=1213080102071293&ev=PageView&noscript=1	C:/Nova%20pasta/simpli%20api/FACEBOOK/TR_5042B.DEL.delayed	(from https://app2.simpliroute.com/)
08:42:58	422714/422714	---M--	200	added ('OK')	text/css	etag:%225a27cc85775f6f68241f1066589b620b%22	https://app2.simpliroute.com/styles/app-5a27cc8577.css	C:/Nova%20pasta/simpli%20api/APP2_SIM/STYLES/APP_5A27.CSS	(from https://app2.simpliroute.com/)
08:43:01	301622/301622	---M--	200	added ('OK')	application/javascript	etag:%22fe3035c03d70b24f62e00976e05752a8%22	https://app2.simpliroute.com/assets/js/jquery.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/ASSETS/JS/JQUERY.JS	(from https://app2.simpliroute.com/)
08:43:01	63339/63339	---M--	200	added ('OK')	application/javascript	etag:%2287ad49220cfbcd0cc506b3ff7d62e8d8%22	https://js.stripe.com/v2/	C:/Nova%20pasta/simpli%20api/JS_STR/V2/INDEX.HTM	(from https://app2.simpliroute.com/)
08:43:01	6144/6144	---M--	200	added ('OK')	application/javascript	etag:%222325e1bd4a8df90a1bd527f2f9434aa9%22	https://app2.simpliroute.com/assets/js/Blob.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/ASSETS/JS/BLOB.JS	(from https://app2.simpliroute.com/)
08:43:03	24939/24939	---M--	200	added ('OK')	application/javascript	etag:%2240278395c0698efad8c9cab58034d752%22	https://app2.simpliroute.com/assets/js/markerwithlabel.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/ASSETS/JS/MARKERWI.JS	(from https://app2.simpliroute.com/)
08:43:03	1271/1271	---M--	200	added ('OK')	application/javascript	etag:%224b48332a6f5c1271476ab6b5096701d4%22	https://app2.simpliroute.com/env.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/ENV.JS	(from https://app2.simpliroute.com/)
08:43:04	92843/92843	---M--	200	added ('OK')	application/javascript	etag:%223853c56051b971ef432ccdde205a1a9e%22	https://app2.simpliroute.com/cleaner.config.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/CLEANER_.JS	(from https://app2.simpliroute.com/)
08:43:15	25/-1	---M--	200	added ('OK')	text/plain	date:Mon,%2005%20Feb%202018%2010:43:10%20GMT	http://fonts.googleapis.com/robots.txt		(from https://app2.simpliroute.com/)
08:43:15	1564/-1	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Feb%202018%2010:42:46%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:400,300,300italic,400italic,700italic,700	C:/Nova%20pasta/simpli%20api/FONTS_GO/CSS_1BCC.DEL.delayed	(from https://app2.simpliroute.com/)
08:43:16	5678/-1	---M--	200	added ('OK')	text/plain	date:Mon,%2005%20Feb%202018%2010:43:11%20GMT	https://www.facebook.com/robots.txt		(from https://app2.simpliroute.com/)
08:43:16	1068796/1068796	---M--	200	added ('OK')	application/javascript	etag:%226a842db9e2003d94e6ae11d557a8e93e%22	https://app2.simpliroute.com/scripts/app-50451bc874.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/SCRIPTS/APP_5045.JS	(from https://app2.simpliroute.com/)
08:43:16	5046715/5046715	---M--	200	added ('OK')	application/javascript	etag:%2222eabf8fd7f7c6f0085360de2c146bcb%22	https://app2.simpliroute.com/scripts/vendor-c893226e45.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/SCRIPTS/VENDOR_C.JS	(from https://app2.simpliroute.com/)
08:43:16	56/56	---M--	404	error ('NOT%20FOUND')	text/html	date:Mon,%2005%20Feb%202018%2010:43:12%20GMT	https://js.stripe.com/robots.txt		(from https://app2.simpliroute.com/)
08:43:19	87362/87362	URF---	200	added ('OK%20(cached)')	application/delayed		https://maps.googleapis.com/maps/api/js?key=AIzaSyB8B04MTIk7abJDVESr6SUF6f3Hgt1DPAY&libraries=places,geometry,drawing	C:/Nova%20pasta/simpli%20api/MAPS_GOO/MAPS/API/JS_9C73C.DEL.delayed	(from https://app2.simpliroute.com/)
08:43:20	63339/63339	--F---	200	added ('OK%20(cached)')	text/html		https://js.stripe.com/v2/	C:/Nova%20pasta/simpli%20api/JS_STR/V2/INDEX.HTM	(from https://app2.simpliroute.com/)
08:43:21	301622/301622	UR-MCZ	200	added ('OK')	application/javascript	date:Mon,%2018%20Dec%202017%2016:13:50%20GMT	https://app2.simpliroute.com/assets/js/jquery.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/ASSETS/JS/JQUERY.JS	(from https://app2.simpliroute.com/)
08:43:21	6144/6144	UR-MCZ	200	added ('OK')	application/javascript	date:Mon,%2018%20Dec%202017%2016:13:50%20GMT	https://app2.simpliroute.com/assets/js/Blob.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/ASSETS/JS/BLOB.JS	(from https://app2.simpliroute.com/)
08:43:22	24939/24939	UR-MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20Dec%202017%2014:36:32%20GMT	https://app2.simpliroute.com/assets/js/markerwithlabel.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/ASSETS/JS/MARKERWI.JS	(from https://app2.simpliroute.com/)
08:43:22	1271/1271	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2026%20Jan%202018%2013:55:44%20GMT	https://app2.simpliroute.com/env.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/ENV.JS	(from https://app2.simpliroute.com/)
08:43:23	92843/92843	UR-MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20Dec%202017%2014:36:33%20GMT	https://app2.simpliroute.com/cleaner.config.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/CLEANER_.JS	(from https://app2.simpliroute.com/)
08:43:27	1068796/1068796	UR-MCZ	200	added ('OK')	application/javascript	date:Wed,%2031%20Jan%202018%2019:33:17%20GMT	https://app2.simpliroute.com/scripts/app-50451bc874.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/SCRIPTS/APP_5045.JS	(from https://app2.simpliroute.com/)
08:43:40	5046715/5046715	UR-MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Nov%202017%2020:27:13%20GMT	https://app2.simpliroute.com/scripts/vendor-c893226e45.js	C:/Nova%20pasta/simpli%20api/APP2_SIM/SCRIPTS/VENDOR_C.JS	(from https://app2.simpliroute.com/)
08:43:41	44/44	URF---	200	added ('OK%20(cached)')	application/delayed		https://www.facebook.com/tr?id=1213080102071293&ev=PageView&noscript=1	C:/Nova%20pasta/simpli%20api/FACEBOOK/TR_5042B.DEL.delayed	(from https://app2.simpliroute.com/)
08:43:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Feb%202018%2010:43:38%20GMT	https://app2.simpliroute.com/img/flags@2x.png	C:/Nova%20pasta/simpli%20api/APP2_SIM/IMG/FLAGS_2X.DEL.delayed	(from https://app2.simpliroute.com/styles/vendor-af12bac8c4.css)
08:43:42	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Feb%202018%2010:43:37%20GMT	http://app2.simpliroute.com/#/img/flags@2x.png	C:/Nova%20pasta/simpli%20api/APP2_SIM/_/IMG/FLAGS_2X.DEL.delayed	(from https://app2.simpliroute.com/styles/vendor-af12bac8c4.css)
08:43:42	3165/3165	---M--	200	added ('OK')	text/html	etag:%2264ed00538fae321471e2c15c7e4ee535%22	https://app2.simpliroute.com/#/img/flags@2x.png	C:/Nova%20pasta/simpli%20api/APP2_SIM/_/IMG/FLAGS_2X.HTM	(from https://app2.simpliroute.com/styles/vendor-af12bac8c4.css)
08:43:49	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22f4769f9bdb7466be65088239c12046d1%22	https://app2.simpliroute.com/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.eot?	C:/Nova%20pasta/simpli%20api/APP2_SIM/BOWER_CO/BOOTSTRA/ASSETS/FONTS/BOOTSTRA/GLYPHI-2.EOT	(from https://app2.simpliroute.com/styles/app-5a27cc8577.css)
08:43:49	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22f4769f9bdb7466be65088239c12046d1%22	https://app2.simpliroute.com/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.eot	C:/Nova%20pasta/simpli%20api/APP2_SIM/BOWER_CO/BOOTSTRA/ASSETS/FONTS/BOOTSTRA/GLYPHICO.EOT	(from https://app2.simpliroute.com/styles/app-5a27cc8577.css)
08:43:49	18028/18028	---M--	200	added ('OK')	binary/octet-stream	etag:%22448c34a56d699c29117adc64c43affeb%22	https://app2.simpliroute.com/bower_components/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.woff2	C:/Nova%20pasta/simpli%20api/APP2_SIM/BOWER_CO/BOOTSTRA/ASSETS/FONTS/BOOTSTRA/GLYPHICO.WOF	(from https://app2.simpliroute.com/styles/app-5a27cc8577.css)
